Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
61130;0,025;14,6597;1,4982;0,1983;11,0753;273,9854;359,8131;True;True;0,5387;1,5221;-0,0387;290,1610;32,2032;33,7861;0,0238;-0,0371;0,2716;0,0000;-0,1495;1,5404;0,0602;286,1798;9,9921;322,1872;0,0065;0,0173;0,0860;0,0000;
61135;0,04999999;14,6567;1,4984;0,1987;11,0139;273,7770;359,7534;True;True;0,5381;1,5213;-0,0339;290,4361;31,3318;34,7599;-0,0266;-0,0269;0,0639;0,0000;-0,1493;1,5403;0,0615;286,0435;10,1792;321,9250;0,0243;-0,0167;0,0763;0,0000;
61140;0,075;14,6532;1,4963;0,1999;10,7852;274,3644;359,1293;True;True;0,5359;1,5189;-0,0305;288,6547;32,1684;34,3065;-0,0921;-0,1021;0,2838;0,0000;-0,1429;1,5370;0,0654;285,8003;13,3712;317,6274;0,5361;-0,1395;0,1699;0,0000;
61145;0,1;14,6426;1,4930;0,2078;9,4867;276,7887;359,4163;True;True;0,5429;1,5168;-0,0293;285,0134;36,1909;35,0688;0,3597;-0,0303;0,1212;0,0000;-0,1284;1,5279;0,0773;285,5543;19,7034;313,2148;0,7545;-0,4154;0,8067;0,0000;
61150;0,125;14,6295;1,4895;0,2223;8,7109;279,7318;0,0157;True;True;0,5571;1,5184;-0,0259;283,9477;28,7621;43,1183;0,6121;0,1297;0,2908;0,0000;-0,1180;1,5175;0,0919;284,8469;16,6256;314,5419;0,2315;-0,3721;0,3968;0,0000;
61155;0,15;14,6174;1,4810;0,2399;7,8844;281,6794;0,3888;True;True;0,5688;1,5050;-0,0309;280,7258;40,5771;29,9993;0,0805;-1,5096;-0,7290;0,0000;-0,0845;1,4966;0,0967;283,2355;29,4989;297,5697;1,5927;-0,8321;0,1236;0,0000;
61160;0,175;14,6080;1,4685;0,2623;8,2397;280,3719;358,3942;True;True;0,5707;1,4581;-0,0572;276,7655;45,5686;22,2092;0,6356;-1,4162;-0,6501;0,0000;-0,0420;1,4764;0,1063;284,4267;29,4440;304,4601;1,2541;-0,4756;0,2136;0,0000;
61165;0,1999999;14,6003;1,4485;0,3007;8,0294;279,6504;359,0074;True;True;0,6073;1,4423;-0,0599;278,3103;25,3625;48,9008;2,2168;-0,3206;-0,1620;0,0000;-0,0013;1,4674;0,1238;283,7236;24,3980;308,3318;2,5796;-0,4465;1,2950;0,0000;
61170;0,2249999;14,5840;1,4531;0,3503;8,1000;287,6700;0,5320;True;True;0,6460;1,4575;-0,0631;273,1335;42,0727;39,5852;0,8393;0,2946;-0,4760;0,0000;0,0670;1,4680;0,1424;280,3997;42,9632;288,7356;2,8089;-0,0744;0,4846;0,0000;
61175;0,2499999;14,5887;1,4398;0,3950;2,7869;291,0807;355,5725;True;True;0,5949;1,4471;-0,0674;288,6956;192,5602;223,0807;-0,8278;1,8574;2,0361;0,0000;0,2487;1,4689;0,1415;287,4565;140,4851;218,2997;7,2764;0,7969;0,7213;0,0000;
61180;0,2749999;14,5991;1,4372;0,4532;359,9887;292,0577;358,7105;True;True;0,6473;1,5600;0,1146;279,7433;240,0428;199,0562;3,7706;4,0548;6,8260;0,0000;0,4398;1,5393;0,2789;278,5818;63,4564;290,5623;6,9089;1,5366;6,6241;0,0000;
61185;0,2999999;14,6269;1,4262;0,4979;352,6868;296,2215;357,1237;True;True;0,5678;1,5486;0,2610;279,0199;254,3614;162,3074;-3,6613;-0,7698;10,8849;0,0000;0,6582;1,5298;0,2651;272,3455;224,5790;139,8374;10,9843;2,1995;2,6190;0,0000;
61190;0,3249998;14,6347;1,4167;0,5363;350,2433;290,5401;0,0442;True;True;0,6356;1,6116;0,3686;303,1185;15,6427;62,3524;2,9145;-1,9153;4,4137;0,0000;0,5327;1,4717;0,4754;341,8189;334,6948;30,6784;-7,7670;-6,9177;2,2156;0,0000;
61195;0,3499998;14,6244;1,4492;0,5338;356,0054;287,1369;0,0180;True;True;0,6282;1,6385;0,2936;282,8294;20,6726;35,3756;-1,0199;1,2601;-2,2612;0,0000;0,5125;1,5032;0,4220;303,2462;349,9463;17,5842;-1,6409;0,2000;-2,6797;0,0000;
61200;0,3749998;14,6003;1,4542;0,5147;355,8117;284,5231;1,3127;True;True;0,6033;1,6714;0,2572;281,8155;307,4792;129,6078;-1,5441;0,7875;-1,5682;0,0000;0,3958;1,5060;0,4081;309,0173;344,5226;27,3861;-3,4019;1,8878;-1,5986;0,0000;
61205;0,3999998;14,5875;1,4368;0,4702;1,0916;281,1929;1,4244;True;True;0,5495;1,6919;0,2265;290,5571;289,1436;157,9954;-1,9518;0,8112;-1,4652;0,0000;0,2937;1,5453;0,3416;289,4756;331,1371;28,7514;-3,4524;1,7935;-1,9131;0,0000;
61210;0,4249997;14,5746;1,4449;0,4025;3,7207;276,6802;0,4505;True;True;0,4800;1,7178;0,1782;281,5740;333,0320;94,7338;-3,4005;0,3460;-2,2709;0,0000;0,2192;1,5935;0,2874;286,9774;345,6295;22,8391;-1,8582;2,0375;-1,9327;0,0000;
61215;0,4499997;14,5640;1,4591;0,3338;5,5903;267,3970;358,9907;True;True;0,3842;1,7325;0,1446;284,2834;311,8959;108,6111;-3,2090;0,5351;-0,5494;0,0000;0,1640;1,6397;0,2364;280,0290;41,0512;316,3927;-2,1606;1,0551;-1,2346;0,0000;
61220;0,4749997;14,5500;1,5122;0,2794;5,1577;265,4206;358,2914;True;True;0,3125;1,7347;0,1371;292,5504;303,1796;116,6388;-1,5781;-0,7703;-0,5943;0,0000;0,1001;1,6520;0,2014;284,2997;51,8822;305,5310;-2,0942;-0,3584;-0,9279;0,0000;
61225;0,4999997;14,5367;1,5402;0,2315;2,7373;266,4680;359,2887;True;True;0,2931;1,6908;0,1157;291,8212;283,1594;113,7283;-0,5077;-3,4308;-0,4964;0,0000;0,0275;1,6083;0,1762;288,0861;54,2815;300,7115;-3,9272;-2,8910;-1,0817;0,0000;
